fiscal_year,usd_billions,source
1940,1.660,OMB Historical Table 3.1 FY2027
1941,6.435,OMB Historical Table 3.1 FY2027
1942,25.658,OMB Historical Table 3.1 FY2027
1943,66.699,OMB Historical Table 3.1 FY2027
1944,79.143,OMB Historical Table 3.1 FY2027
1945,82.965,OMB Historical Table 3.1 FY2027
1946,42.681,OMB Historical Table 3.1 FY2027
1947,12.808,OMB Historical Table 3.1 FY2027
1948,9.105,OMB Historical Table 3.1 FY2027
1949,13.150,OMB Historical Table 3.1 FY2027
1950,13.724,OMB Historical Table 3.1 FY2027
1951,23.566,OMB Historical Table 3.1 FY2027
1952,46.089,OMB Historical Table 3.1 FY2027
1953,52.802,OMB Historical Table 3.1 FY2027
1954,49.266,OMB Historical Table 3.1 FY2027
1955,42.729,OMB Historical Table 3.1 FY2027
1956,42.523,OMB Historical Table 3.1 FY2027
1957,45.430,OMB Historical Table 3.1 FY2027
1958,46.815,OMB Historical Table 3.1 FY2027
1959,49.015,OMB Historical Table 3.1 FY2027
1960,48.130,OMB Historical Table 3.1 FY2027
1961,49.601,OMB Historical Table 3.1 FY2027
1962,52.345,OMB Historical Table 3.1 FY2027
1963,53.400,OMB Historical Table 3.1 FY2027
1964,54.757,OMB Historical Table 3.1 FY2027
1965,50.620,OMB Historical Table 3.1 FY2027
1966,58.111,OMB Historical Table 3.1 FY2027
1967,71.417,OMB Historical Table 3.1 FY2027
1968,81.926,OMB Historical Table 3.1 FY2027
1969,82.497,OMB Historical Table 3.1 FY2027
1970,81.692,OMB Historical Table 3.1 FY2027
1971,78.872,OMB Historical Table 3.1 FY2027
1972,79.174,OMB Historical Table 3.1 FY2027
1973,76.681,OMB Historical Table 3.1 FY2027
1974,79.347,OMB Historical Table 3.1 FY2027
1975,86.509,OMB Historical Table 3.1 FY2027
1976,89.619,OMB Historical Table 3.1 FY2027
1977,97.241,OMB Historical Table 3.1 FY2027
1978,104.495,OMB Historical Table 3.1 FY2027
1979,116.342,OMB Historical Table 3.1 FY2027
1980,133.995,OMB Historical Table 3.1 FY2027
1981,157.513,OMB Historical Table 3.1 FY2027
1982,185.309,OMB Historical Table 3.1 FY2027
1983,209.903,OMB Historical Table 3.1 FY2027
1984,227.411,OMB Historical Table 3.1 FY2027
1985,252.743,OMB Historical Table 3.1 FY2027
1986,273.373,OMB Historical Table 3.1 FY2027
1987,281.996,OMB Historical Table 3.1 FY2027
1988,290.360,OMB Historical Table 3.1 FY2027
1989,303.555,OMB Historical Table 3.1 FY2027
1990,299.321,OMB Historical Table 3.1 FY2027
1991,273.285,OMB Historical Table 3.1 FY2027
1992,298.346,OMB Historical Table 3.1 FY2027
1993,291.084,OMB Historical Table 3.1 FY2027
1994,281.640,OMB Historical Table 3.1 FY2027
1995,272.063,OMB Historical Table 3.1 FY2027
1996,265.748,OMB Historical Table 3.1 FY2027
1997,270.502,OMB Historical Table 3.1 FY2027
1998,268.194,OMB Historical Table 3.1 FY2027
1999,274.769,OMB Historical Table 3.1 FY2027
2000,294.363,OMB Historical Table 3.1 FY2027
2001,304.732,OMB Historical Table 3.1 FY2027
2002,348.456,OMB Historical Table 3.1 FY2027
2003,404.733,OMB Historical Table 3.1 FY2027
2004,455.813,OMB Historical Table 3.1 FY2027
2005,495.294,OMB Historical Table 3.1 FY2027
2006,521.820,OMB Historical Table 3.1 FY2027
2007,551.258,OMB Historical Table 3.1 FY2027
2008,616.066,OMB Historical Table 3.1 FY2027
2009,661.012,OMB Historical Table 3.1 FY2027
2010,693.485,OMB Historical Table 3.1 FY2027
2011,705.554,OMB Historical Table 3.1 FY2027
2012,677.852,OMB Historical Table 3.1 FY2027
2013,633.446,OMB Historical Table 3.1 FY2027
2014,603.457,OMB Historical Table 3.1 FY2027
2015,589.659,OMB Historical Table 3.1 FY2027
2016,593.372,OMB Historical Table 3.1 FY2027
2017,598.723,OMB Historical Table 3.1 FY2027
2018,631.251,OMB Historical Table 3.1 FY2027
2019,685.707,OMB Historical Table 3.1 FY2027
2020,724.589,OMB Historical Table 3.1 FY2027
2021,753.897,OMB Historical Table 3.1 FY2027
2022,765.649,OMB Historical Table 3.1 FY2027
2023,820.263,OMB Historical Table 3.1 FY2027
2024,873.523,OMB Historical Table 3.1 FY2027
2025,916.140,OMB Historical Table 3.1 FY2027
